Requirement,Type
xvi. ensuring that flagpersons are trained in the proper procedures for flagging and maintaining in their possession a valid certificate indicating successful completion of an approved flagperson training course.,Construction
xv. maintaining a log of when workers are present and adjacent to traffic accommodation devices;,Construction
xiv. maintaining a log of all regulatory speed signs installed and removed;,Construction
"xiii. erecting, moving, cleaning, removing and replacing all signs and other devices, used to control and accommodate traffic",Construction
"xii. identifying potential danger areas and providing signing, traffic control and dust control necessary to provide a safe and convenient travel path for users",Construction
"xi. overseeing all requirements of the Project Agreement that contribute to the safety, convenience, and orderly movement of vehicular, cycling and pedestrian traffic",Construction
x. documenting traffic control measures and activities in accordance with this Section 100.8.4 of Schedule 15-1 - General,Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: this Project Agreement, its Schedules and the Project Documents, including all amendments to such agreements;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: the financial accounts of Project Co;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: such documents as the Ministry may reasonably require relating to Business Opportunities in which the Ministry has a right or interest;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: any notices, reports, results and certificates relating to Phase One Substantial Completion, Phase One Final Completion, Substantial Completion and Final Completion of the Works and completion of the Project Co Commissioning;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: any documents, drawings (including, without limitation, the As Built Drawings) or submissions in accordance with Schedule 9 - Review Procedure;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: any documents relating to insurance and insurance claims;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: any documents relating to events of Force Majeure, Delay Events, Compensation Events, Relief Events and Excusing Causes;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: any documents relating to Development Approvals and other Project Co Permits, Licences and Approvals, including any refusals and appeals relating to any applications;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: any documents relating to any Refinancing;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: any documents related to decisions resulting from the Dispute Resolution Procedure;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: any documents related to a Project Co Change in Ownership or Change in Control;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: all records required by Applicable Law (including in relation to health and safety matters) to be maintained by Project Co with respect to the Project Operations;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: all records relating to the appointment and replacement of the Ministry Representative and the Project Co Representative;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: all records relating to any statutory inspections of the Bypass or the Site, including any roadways;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: all other records, documents, information, notices or certificates expressly required to be produced or maintained by Project Co pursuant to this Project Agreement.",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: all Jointly Developed Materials; ",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: all formal notices, reports or submissions made to or received from the Ministry in connection with the provision of the OM&R Work, the monitoring of performance, the availability of the Bypass, and payment adjustments;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: all documents submitted in accordance with Schedule 19 - Variation Procedure;",Construction
"Without limiting any other requirement of this Project Agreement, Project Co shall prepare, retain and maintain at its own expense: all accounts for Taxes and transactions relating to Taxes, including in relation to GST and PST applicable to the Project, ",Construction
"Within six months of the first meeting, Project Co shall convene a second meeting with the Ministry to review the effectiveness of the document management measures based on feedback from all parties, and to implement any agreed upon procedural changes.",Construction
"Within 5 Business Days following receipt of a NCR from the Ministry, Project Co shall advise the Ministry through the NCR Tracking System (NCRTS) that it acknowledges and accepts the occurrence of an incidence of Non- Conformance and it will proceed with all due diligence to correct and rectify or cause to be corrected or rectified the incidence of the Non-Conformance; or the incidence of the Non-Conformance was previously identified by Project Co and has been or is in the process of being corrected or rectified; or it declines to accept or acknowledge the existence of the incidence of Non-Conformance.",Construction
"Within 5 Business Days following issuance of a NCR, Project Co shall in NCRTS upon completion of such correction or rectification, provide the Ministry with written certification, together with necessary supporting documentation, confirming that the incidence of Non-Conformance has been corrected or rectified.",Construction
"Within 5 Business Days following issuance of a NCR, Project Co shall in NCRTS proceed with all due diligence to correct or rectify the incidence of Non-Conformance within the stipulated time period;",Construction
"Within 5 Business Days following issuance of a NCR, Project Co shall in NCRTS advise the Ministry of the actions to be undertaken by Project Co to correct or rectify the incidence of Non-Conformance (including the Preventative Action) and the time period within which same will be attended to. During the Construction Activities that have been designed by a Design Engineer or Structural Engineer (as defined in Schedule 15-1 – Technical Requirements – General), all proposed actions shall be certified by the Engineer of Record;",Construction
"Within 30 days after the end of each Contract Year, Project Co shall deliver to the Ministry a report, as reasonably requested by the Ministry in connection with the Ministry''s financial reporting, detailing to the best of Project Co''s knowledge at the time of any such report any and all liabilities, claims and demands, including contingent liabilities, claims and demands, that Project Co has or may have against the Ministry or that may be owing by the Ministry to Project Co. ",Construction
"Where any Temporary Works may endanger public safety on other road or area used by or accessible to the public other than the New Bypass Infrastructure, Project Co shall consult the relevant Governmental Authority and the Design Data shall reflect the requirements of such Governmental Authority.",Construction
VMS Location: Highway 11 West of Bypass;  Direction: EB Hwy 11,Construction
VMS Location: Highway 1 West  of Bypass;  Direction: WB Hwy 1,Construction
VMS Location: Highway 1 East of Tower Road;  Direction: EB Hwy 1,Construction
"viii. recording the actual duration of Lane Closures, detours and lane shifts and unauthorized traffic delays and forwarding this information, on a daily basis to the Ministry Representative for information;",Construction
"vii. liaising with the Ministry Representative, as required; ",Construction
vi. having direct line authority over all of Project Co’s traffic control personnel and procedures on the Site,Construction
v. directing all traffic control operations on the Site;,Construction
"Upon successful completion of the FAT & SAT, Project Co shall transfer the hardware devices from the test environment to the production (field) environment, under Ministry supervision.",Construction
"Upon submission of the software the software shall undergo User Acceptance Testing (UAT) in a simulated test environment by the Ministry, subject matter experts or designated users for a period of up to 6 months after Substantial Completion. ",Construction
"Upon Project Co receiving a comment “Reviewed” or “Reviewed as Noted” to the test plan, Project Co shall undertake the system performance testing process.",Construction
Transfer of the final version of the software from the test environment into the production environment shall be done after: Final Completion is reached under Ministry supervision; and acceptance testing has been completed.,Construction
Traffic signals shall be constructed prior to the Substantial Completion Date at the DDI at Pilot Butte Access Road. ,Construction
Traffic signals controllers at the Pilot Butte Interchange and Highway 46/Highway 364 intersection shall transmit data to the Data Management Centre. ,Construction
"To comply and be consistent with the requirements of the combined standards of ISO 9001, ISO 14001 and the COR program, as enhanced by OHSAS 18001, the IMS shall be supported by a set of core procedures and shall include, but not be limited to: internal and external auditing;",Construction
"To comply and be consistent with the requirements of the combined standards of ISO 9001, ISO 14001 and the COR program, as enhanced by OHSAS 18001, the IMS shall be supported by a set of core procedures and shall include, but not be limited to: Corrective Action and Preventative Action;",Construction
