Sample,Shikimic acid,1-methylgalactose,PENTATRIMETHYLSILYLGLUCOPYRANOSE,"1,3-Dihydroxyacetone ",2-Hydroxypyridine,2-ketoglucose dimethylacetal,2-Oxoglutaric acid,4-hydroxybutyric acid,"5,6-Dihydrouracil",aspartate,Benzoic acid,Glucose,Caffeic acid,cis-Aconitic acid,Citric acid,Arabinose,Fructose,Ribose,Galactose,dehydroascorbic acid,Ethanolamine,Ferulic acid,Fumaric acid,GABA,galactinol,glucose-1-phosphate,Glyceric acid,Glycerol,glycerol-3-galactoside 2,Glycine,Glycolic acid,Inositol,isothreonic acid 4,Malic acid,Phenylalanine,L-5-Oxoproline,Alanine,Ascorbic acid,Aspartic acid,Glutamic acid,Glutamine,Isoleucine,Serine,Threonine,Tryptophan,Tyrosine,Valine,n-acetyl-d-hexosamine 2,Nicotinic acid,Oxalic acid,Palmitic acid,pentitol,Pyrophosphoric acid,Pyruvic acid,Stearic acid,Succinic acid,Sucrose,Tagatose,Tyramine
Res,348333.8,11794.72,29545.2,1782.414,104525.5,15041.97,192241.8,28483.89,1497966,25843.77,9475.451,6287271,141072.9,22911.13,312805.3,9365.504,2299691,194802.4,1002400,818954.3,197360.5,889.3995,5318.178,97988.3,13827.73,9784.794,572898.9,282436.4,32978.47,14438.99,18906.69,91878.8,265812.1,687455.3,4986.23,155949.2,1425291,1773071,131796.9,269720.1,12436.45,43310.97,64269.62,15235.88,6420.25,6370.771,94774.18,55360.15,8320.424,230976.1,14296.79,71676.06,93981.97,40698.21,16872.24,204690,4182937,7509.027,6756.08
Res,839521.3,16751.91,20170.79,1645.274,103178.1,19199.5,125425.9,33245.3,1583592,19996.25,9410.015,5392355,90877.06,15493.7,154050.6,6233.367,1620724,187385,871395.1,868406.8,85247.98,3516.191,5642.244,74011,32122.45,38509.73,270188.4,226800.2,145026.9,26847.46,20326.69,114446.3,243300.3,546114.9,5258.814,157041.9,1942964,1310915,65991.43,197167.4,15426.42,24299.38,83189.24,17576.09,14961.25,9750.921,51425.53,77178.41,9416.748,271724.6,25176.3,86794.82,117029.4,40592.22,39493.82,213886.4,6371407,15368.33,6474.958
Res,783338,9443.292,10461.16,2247.457,123498.6,16306.15,124174,31407.77,1193880,15493.45,7184.283,4428871,88421.63,16388.67,137594.6,5660.119,1362806,154867.8,716279.5,1058948,114257.4,2897.8,4711.524,95730.55,10776.66,37138.98,215198.7,197207.3,72866.42,37821.02,18963.16,108535.5,244273,550382.6,4271.759,158768.3,2119207,1205966,67041.38,232996,12401.04,32344.17,89447.38,18158.62,11355.78,7496.083,64049.69,79604.91,9843.043,204023.4,16841.14,86312.98,84726.23,47636.07,20974.44,165236.1,6431100,9606.962,7246.028
Res,212615.3,9376.296,10921.66,1189.678,127838.1,19324.28,153706.4,34118.45,1121676,19926.22,11310.29,6141646,51738.31,10315.61,150644.1,5453.625,2471717,112665.9,938617,908172.8,141158.6,992.3967,4717.899,54259.91,8332.828,16965.63,226835.9,165817.8,48750.14,43229.28,17929.18,97078.63,284924.8,679349.7,3770.019,188285.7,2676837,1837588,94462.82,296071.7,17409.9,21706.76,72675.2,18500.9,4413.431,6089.021,48709.25,57524.75,10607.87,193792.4,13296.25,78280.13,72390.73,56355.52,15442.18,183261.1,6343477,9296.182,6601.328
Res,227535.5,5863.288,7424.645,1431.302,117302.8,19388.66,127780.8,33561.02,1448438,20026.67,9158.527,6578495,57317.86,12526.63,125464.9,5896.078,2161896,128524.5,999343.3,929052.9,149208.3,821.472,4724.063,48819.47,7051.903,19564.03,215098.6,173813.4,59137.13,82748.34,17473.38,83126.42,331316.5,549806,4594.674,246152.4,2709061,1665445,132526.7,453557.2,23566.39,23661.98,142513.5,20905.18,5710.593,7494.873,55258.79,54745.46,15735.77,208478.1,17481.11,86298.52,109600.3,39458.75,24342.23,161173.4,7536678,6677.706,8965.668
Res,225467.1,7082.398,8021.728,1203.982,104856.9,15969.24,143966,29305.58,1419251,17959.39,12353.02,6651254,48282.6,8450.446,153340.8,5087.504,2669400,205699.4,1003607,776754.4,187827.5,1007.001,5480.078,55169.93,10380.36,14704.08,252469.9,227654.2,46474.21,52093.3,17294.83,107648.8,251516.9,666613.6,3949.374,182122.6,2664132,1961454,102507.6,327308.6,13212.84,22427.48,70896.67,16713.2,4038.976,5796.238,55861.39,55506.12,10487.85,203684.8,12857.48,76106.43,77116.67,51564.11,14603.18,148562.7,6105339,8501.764,6528.013
Res,471320.9,24639.09,23463.56,2381.595,93289.81,19152.83,263571.6,24845.18,1134580,29213.08,14416.88,6782063,216869.8,34322.76,201939.2,13126.88,2811623,150026.3,1075571,694757.1,164058.5,2457.785,5597.552,100028.5,16110.57,20034.61,366391.1,251593.9,57812.78,31642.13,19032.95,132469.4,217132,624557.3,6836.02,251715.2,2260756,1997491,109341.3,355376,21627.55,48991.76,64728.07,18417.16,12439.02,11330.88,87046.82,79230.75,8054.407,121423.5,22337.58,81305.94,162464.8,66168.64,29115.33,210555.2,5973919,12995.38,6911.1
Res,469506.6,22079.82,15373.56,1897.273,91374.95,13970.28,262986.4,21431.44,1293006,19807.36,9373.162,5908886,141136,15537.55,141385.7,11220.98,2609936,151361.3,928209.2,662552.1,154821.5,1462.869,4041.339,85610.57,9987.366,13219.79,418014.5,156793.4,40035.73,44815.4,18438.8,89888.88,172865.5,595396.4,5175.63,159322.5,2142772,1852141,70431.58,230468.4,14376,25913.3,45661.28,11429.95,3947.69,4390.381,49799.6,55285.64,5124.327,144054,15226.88,73141.76,95733.79,84851.63,18087.83,168771.1,6923523,7448.203,4627.83
Res,310794.1,14741.55,12028.14,1765.953,85827.36,14070.67,259859.8,22254.89,1259785,18909.7,9569.739,5341572,137270.4,24911.66,163438,9641.005,2224110,124365.6,801793,591918.4,202899.3,1238.84,4271.026,73544.34,9297.286,11279.48,330265.7,187605.5,33418.41,49443.72,17434.59,105207.6,186781.2,489880.3,4367.093,157513.7,2074761,1588831,66936.55,247020.4,10790.79,24788.41,43755.56,11082.53,3038.986,5008.587,51563.3,48186.08,4878.018,155547,14058.84,65659.88,87447.86,70581.5,16541.38,183973.5,5983071,6723.887,6327.696
Res,720490.3,18130.8,19524.37,1784.929,94472.35,15975.42,223835.6,25844.13,1329791,15998.62,7254.797,6381020,181489.7,27767.21,165227.9,17636.45,2506941,130574.3,976152.3,643626.9,209684.8,2565.849,4328.553,72458.45,13474.81,19716.59,365084.9,170782.9,46091.96,49921.57,20104.01,89767.4,212681.9,724789.6,4119.585,130148.6,2035687,1786231,55482.68,201480.3,10768.84,30705.55,38134.51,9956.605,5613.07,4933.417,63813.76,62620.5,5230.278,99541.77,13351.23,72263.95,93664.48,69634.59,15971.33,189972.3,6182081,6757.171,5209.245
Res,405073.5,13119.31,12240.96,1814.274,75942,16941.7,240719.8,26610.34,1355134,15049.98,8909.286,9855843,91801.98,12644.57,170257.6,13033.39,5561968,114230.9,1632804,485848.3,171947.8,862.7281,4217.383,56347.14,8973.348,9504.36,335732.8,166437.3,27138.1,32787.18,17517.84,102181.4,228671.5,790106.2,3953.553,160762,2125665,3529086,75344.42,276229.9,11333.9,31543.59,46566.84,12249.38,4241.539,5110.075,64038.2,54537.22,7356.38,182019.8,12561.88,53791.97,69239.94,64321.41,14466.86,178421,6565606,4605.055,3699.834
Res,394716.7,17019.1,23453.24,2165.106,94862.98,17107.93,202832.3,26146.86,1296318,29032.34,9624.078,6586737,159137.9,25445.5,306086.6,9630.813,2896895,207468.4,1022470,793528.9,166475.3,1267.428,6472.709,113691.5,15501.79,9204.958,579515.4,271624.5,41257.75,15313.64,20160.61,110781.3,260100.6,764248.8,6821.249,234023.8,1651865,2070061,156121.5,360684.6,21222.88,47619.39,82464.5,20011.89,8099.974,8900.002,99063.69,59961.49,9354.837,151284.8,17622.71,75438.66,126927,37099.17,21579.79,197498.5,3761980,11755.8,6342.035
Res,257171.2,7769.806,13258.43,1189.779,84822.05,13200.84,134743.9,27563.04,1287063,28905.91,9245.999,4376079,79858.52,14152.55,220797.8,8136.907,1627284,172868,653007.2,584856.1,203757.5,749.73,3905.512,55386.46,10112.56,6791.283,455581.4,210431.6,27654.51,18315.57,14605.12,67833,236570.3,583879.4,4552.907,164982.3,1175710,1263235,152285.5,256751.9,14575.68,32999.31,84044.8,13094.01,2495.256,3629.02,64478.93,41982.7,6841.584,194111.2,11118,61616.26,69376.06,25912.38,14345.11,140879.9,3134608,5103.311,4884.861
Res,219808.8,7050.815,15198.59,1342.75,93782.09,20518.18,182222.7,33429.65,1326829,27075.94,15177.96,7070193,108564.9,17546.24,508615.5,10131.95,2846231,127601.8,1102315,640276.8,357181.1,573.6453,5767.106,93037.6,10158.03,7255.729,535886.7,263168.1,28023.74,23540.86,17375.32,91823.81,330628.5,1040251,5413.695,185268.7,1254533,2014543,161858.2,323602.3,16042.04,34178.25,80033.06,14727.42,3224.937,5607.727,98367.86,49265.01,8398.876,238024.1,13943.52,72506.08,96167.77,28526.89,15442.58,241881.2,3924530,7000.801,7716.3
Res,171993.5,6688.143,11345.52,1581.871,85966.23,16176.5,207444.1,27300.93,1326554,24988.71,7492.779,5616244,105468.2,19711.21,233293.1,9037.092,2196047,166925,816035.9,563062.4,239185,726.703,4263.463,66766.23,9498.021,7089.701,566538.3,251854.2,24395.46,34502.86,19536.13,96576.79,273419.4,669725.6,4503.634,168518.6,1509499,1622469,116810.9,279216.9,11395.65,27814.65,54291.92,11692.54,2806.77,4228.619,62500.37,38357.81,5372.998,223522.7,12237.68,72673.55,133466.9,40908.32,14101.99,186544.7,3758742,5900.608,5712.827
Sus,387821.4,8223.02,45969.04,2199.479,55614.13,15963.32,164956.6,29281.31,1574304,53224.82,9524.318,4280821,135127.2,18830.73,368753.2,6603.057,1426226,217318.3,697413.9,460200.7,88910.25,2196.981,6847.026,99397.02,118341.5,30725.49,318900.2,175879.2,156319.4,11913.58,19212.92,89980.11,235014.8,754916.3,5821.099,187515,1332193,1173700,140778.4,203672,19985.17,20988.66,67803.29,15803.53,15184.12,10754.37,55393.68,122054.8,6793.336,370121.4,24792.34,81360.41,96367.42,40370.73,39009.88,117329.7,7461591,3112.354,3676.206
Sus,309716.8,4336.129,18550.4,1529.07,50554.45,8128.726,128674.9,19710.46,1608459,23385.97,13824.44,4236613,110946.6,16646.27,218613.2,5092.267,712598.9,180620.9,692564.9,449584.2,101308.2,1182.109,4567.572,58431.86,26906.76,26720.31,260776.7,159614.2,56394.73,12720.63,17967.63,66924.41,152829.4,562872.5,3380.487,98363.11,1148313,692508.3,79858.12,122680.8,8883.1,24723.7,42475.93,11796.67,11741.25,5234.988,58669.19,94584.8,6174.825,131111.5,17981.91,71305.25,52055.05,45980.16,23107.26,82507,6309379,6538.281,3529.526
Sus,201017.3,5137.597,18202.63,1539.674,41077.89,7662.059,142146,17399.1,1539930,21522.5,13120.96,3976517,61497.99,9589.35,276665.9,5428.943,931446.9,170053.2,628969.7,337193.1,118767.5,1096.22,5029.685,53083.26,19697.75,15739.25,349711.8,157629.9,39484.38,13654.35,15637.96,75662.88,138854.9,750670.7,3134.112,102303.7,1338772,862060.1,88813.08,147829,8748.604,18151.46,42220.01,11137.51,7113.717,3608.949,51641.02,92763.05,6075.943,151656.1,12513.56,53355.15,52649.41,45744.68,14295.01,85626.52,6656288,4497.245,3839.672
Sus,287228.9,4092.067,12807.01,1857.167,62577.55,8098.538,129382.9,20922,1160438,24770.8,17086.46,3546424,77621.01,10788.06,290394,5713.83,843939,195615.2,559537.8,458199.6,149450.3,939.9547,4827.711,98477.83,20199.25,16066.01,349637.5,175847.8,72895.5,15485.38,19112.29,67163.62,159972.7,784565.4,3086.667,107628.2,1202671,860753,108841.6,161636.8,8945.72,27171.07,47580.9,11776.69,7247.131,4560.49,62204.14,106796.8,8784.366,173513.2,13563.83,54557.01,44413.62,36777.32,17592.58,100462.9,6832462,4587.888,4484.557
Sus,266765.5,3576.192,15461.45,1518.107,45244.53,6899.532,129046.8,19087.37,1568093,27620.81,11969.57,3256674,48039.38,8328.512,507871.9,5813.182,686546.8,172662.6,487356.7,371992.3,138247.3,748.6043,3847.427,54450.01,31884.58,15858.52,391700,125601.6,64674.64,17373.4,14383.51,70903.59,131437.8,787591.3,3124.558,109276,1111435,649725.8,129478.8,157134.4,9089.968,15941.28,47121.32,10532.01,3925.123,3767.828,41755.22,82721.88,6049.962,146869.7,11088.94,38875.44,32652.15,36485.97,11885.41,92543.3,5375292,4228.265,3495.809
Sus,454001.3,7682.112,30288.59,1906.511,102470.9,31347.81,103870.3,49786.74,1531779,34333.9,12989.94,4887223,216869.4,41804.8,117991.8,8080.455,1487850,196353.9,807176.3,776931.4,117451.7,5897.888,4889.674,66948,19115.23,27047.56,269771,286949.8,92491.41,14897.69,19597.05,126556.9,456087.5,401120.4,4556.937,125062.8,1112165,1240120,110222.3,158455.5,9516.514,28427.04,64396.37,12666.92,5329.611,7769.494,63854.5,74665.95,6464.033,118797.8,25099.77,91354.41,159018,23461.44,34472.71,213883.4,3738371,10768.04,7930.476
Sus,249894.3,3555.274,15698.11,1840.81,103762.6,24487.21,137640,33385.52,1528535,27659.37,5146.645,3834641,87405.43,16052.17,124197.9,7365.67,1292462,186167.1,603638.4,746714.6,131227.4,1971.89,4315.702,97299.38,12969.3,10991.21,282207,203495.9,45971.04,18660.45,21615.36,145990.2,383986.8,438828.5,4111.372,128986.8,1546170,1127915,111455.8,193509,8557.92,16268.15,47532.89,10102.8,2225.116,5780.832,43309.33,57940.5,6427.802,177509.8,14955.85,74060.13,65874.88,34228.69,19389.19,191565.9,3089132,7256.595,5060.893
Sus,439768.1,4800.14,13566.51,1708.966,92721.75,19721.31,157439.5,30905.31,1574895,26949.24,7352.518,4311610,83728.96,18377.76,122050.2,6160.467,1585417,199145.3,674407.8,612768.4,166837.2,1185.598,3666.789,67519.77,19017.34,9534.688,343008.1,253251.9,66179.73,22740.74,19252.39,134434.3,338240.6,447697.3,3965.997,127773.9,1436942,1340478,132231.5,215249.8,6421.769,22219.94,51987.2,12051,4035.397,5291.902,55526.12,55471.98,6696.694,172981,12589.55,67463.1,89652.08,39438.17,15148.22,208441.1,2509338,2333.554,7735.492
Sus,263541.6,3343.306,15064.44,1863.153,97070.56,22657.2,133107.5,30871.26,1446471,24757.63,14315.18,5937181,75024.12,13251.11,148194.6,6648.532,2108517,151324.8,907971.2,660378.8,188953.8,1028.356,3854.242,60173.53,11596,9804.041,383322.3,240402.7,40709.15,25190.42,18563.16,139297.1,373522.8,617614.7,3959.765,117645.6,1274127,1608245,130039.4,197386.1,7592.358,21623.86,58967.66,10891.41,2543.86,4642.249,53220.56,55334.75,6857.587,181860.5,11529.98,63624.97,76978.02,32879.02,14059.11,194692.8,3488351,6543.731,5255.443
Sus,177270.4,5939.486,11910.88,2076.266,112252.2,20826.35,119449.8,33976.49,1573797,22363.51,12922.74,5319573,62594.39,12400.8,180272.1,7109.662,1828085,144685,778376.3,806790.4,206175.7,1181.481,3220.995,79680.1,12353.56,10112.49,365467.5,258478.7,55407.66,37655.67,15858.85,105468.2,366025.6,544962.2,3004.611,104437.7,1447312,1451341,98264.38,164418.3,6700.466,18875.13,46462.52,10929.28,3442.5,5336.591,49495.47,57277.66,5045.558,203502,18475.97,67741.63,77955.69,36134.13,23990.87,186780,3236649,6734.046,5336.695
